,Molecule,Tango,Waltz,Length
0,mutant_0,37.87547619047619,5.887690476190476,42
1,mutant_1,37.900952380952376,5.858357142857143,42
2,mutant_2,12.067928571428572,6.472190476190476,42
3,mutant_3,12.027000000000001,6.470238095238095,42
4,mutant_4,37.69571428571429,5.891547619047619,42
5,mutant_5,33.59023809523809,5.978761904761905,42
6,mutant_6,38.2447619047619,5.879809523809524,42
7,mutant_7,38.15190476190477,5.952071428571428,42
8,mutant_8,36.76119047619048,5.911476190476191,42
9,mutant_9,38.16833333333333,5.881952380952381,42
10,mutant_10,16.80842857142857,6.146928571428571,42
11,mutant_11,38.24738095238096,5.884142857142857,42
12,mutant_12,11.647785714285714,6.431571428571428,42
13,mutant_13,35.65238095238095,5.933119047619048,42
14,mutant_14,25.105238095238096,6.14647619047619,42
15,mutant_15,38.099047619047624,5.883119047619048,42
16,mutant_16,37.65833333333334,5.8928095238095235,42
17,mutant_17,32.26095238095238,6.001833333333333,42
18,mutant_18,37.734047619047615,5.890595238095238,42
19,mutant_19,38.111666666666665,5.882904761904761,42
20,mutant_20,38.39666666666667,5.8790000000000004,42
21,mutant_21,11.680690476190476,6.444428571428571,42
22,mutant_22,11.797285714285714,6.436404761904762,42
23,mutant_23,14.993404761904761,6.338333333333333,42
24,mutant_24,29.873333333333335,6.058333333333333,42
25,mutant_25,36.86119047619048,12.05154761904762,42
26,mutant_26,37.91357142857142,6.129261904761904,42
27,mutant_27,36.648809523809526,5.880452380952382,42
28,mutant_28,27.635714285714286,5.884023809523809,42
29,mutant_29,36.87880952380952,5.929119047619047,42
30,mutant_30,37.918571428571425,5.8872857142857145,42
31,mutant_31,38.470238095238095,5.880214285714286,42
32,mutant_32,38.460476190476186,5.892547619047619,42
33,mutant_33,38.30357142857143,5.898238095238095,42
34,mutant_34,38.46214285714286,5.879071428571429,42
35,mutant_35,38.47047619047619,5.895357142857143,42
36,mutant_36,38.45666666666667,5.878952380952381,42
37,mutant_37,38.44714285714286,5.879095238095238,42
38,mutant_38,38.44880952380952,5.879047619047618,42
39,mutant_39,38.45690476190477,5.878928571428571,42
40,mutant_40,36.96214285714286,5.906047619047619,42
41,mutant_41,28.33214285714286,6.093166666666667,42
42,mutant_42,37.170476190476194,5.902952380952381,42
43,mutant_43,37.889761904761905,5.887142857142857,42
44,mutant_44,38.38785714285714,5.902761904761904,42
45,mutant_45,27.663809523809526,5.8878095238095245,42
46,mutant_46,38.249761904761904,5.8815,42
47,mutant_47,38.396904761904764,5.880452380952382,42
48,mutant_48,37.905,5.887142857142857,42
49,mutant_49,36.79833333333333,5.903666666666667,42
50,mutant_50,29.51452380952381,6.008857142857143,42
51,mutant_51,36.980000000000004,5.901952380952381,42
52,mutant_52,37.938809523809525,5.886666666666667,42
53,mutant_53,34.81833333333333,5.911809523809524,42
54,mutant_54,38.875238095238096,5.880547619047619,42
55,mutant_55,38.68642857142857,5.8813571428571425,42
56,mutant_56,36.72047619047619,5.897523809523809,42
57,mutant_57,38.718333333333334,5.889738095238095,42
58,mutant_58,38.88095238095238,5.880452380952382,42
59,mutant_59,40.82738095238095,5.8800952380952385,42
60,mutant_60,40.292142857142856,5.883619047619048,42
61,mutant_61,38.359047619047615,5.887404761904762,42
62,mutant_62,40.37119047619048,5.881309523809524,42
63,mutant_63,40.84642857142857,5.883285714285715,42
64,mutant_64,34.86690476190476,5.99002380952381,42
65,mutant_65,35.037619047619046,5.988047619047618,42
66,mutant_66,34.89928571428571,5.987571428571429,42
67,mutant_67,25.988333333333333,6.05902380952381,42
68,mutant_68,33.09761904761905,5.956738095238095,42
69,mutant_69,21.323761904761902,6.144047619047619,42
70,mutant_70,21.353833333333334,6.14447619047619,42
71,mutant_71,21.821428571428573,6.146761904761904,42
72,mutant_72,21.76688095238095,6.100809523809524,42
73,mutant_73,19.786357142857145,6.1787857142857145,42
74,mutant_74,26.78357142857143,5.886452380952381,42
75,mutant_75,37.37357142857143,5.895714285714286,42
76,mutant_76,16.526642857142857,6.277142857142857,42
77,mutant_77,16.516571428571428,6.277404761904762,42
78,mutant_78,33.09880952380953,5.965095238095238,42
79,mutant_79,23.673904761904762,6.116452380952381,42
80,mutant_80,38.38952380952381,5.87952380952381,42
81,mutant_81,37.901666666666664,5.887142857142857,42
82,mutant_82,28.794285714285714,6.035571428571428,42
83,mutant_83,37.051904761904765,5.900952380952381,42
84,mutant_84,37.93238095238095,5.886690476190476,42
85,mutant_85,34.29238095238095,5.939452380952381,42
86,mutant_86,24.84142857142857,6.075642857142857,42
87,mutant_87,25.292380952380952,6.04102380952381,42
88,mutant_88,23.73014285714286,6.091547619047619,42
89,mutant_89,30.356190476190477,5.875642857142857,42
90,mutant_90,37.3252380952381,5.895642857142857,42
91,mutant_91,36.87976190476191,5.904690476190477,42
92,mutant_92,36.66047619047619,8.900214285714286,42
93,mutant_93,37.948095238095235,5.882928571428572,42
94,mutant_94,36.89952380952381,5.879642857142857,42
95,mutant_95,15.239142857142857,5.834642857142858,42
96,mutant_96,38.46523809523809,5.8845238095238095,42
97,mutant_97,21.83902380952381,7.120738095238096,42
98,mutant_98,21.788357142857144,9.03397619047619,42
99,mutant_99,38.41023809523809,5.89852380952381,42
100,mutant_100,18.012261904761903,5.804928571428571,42
101,mutant_101,20.252404761904764,5.889547619047619,42
102,mutant_102,30.81095238095238,5.880761904761904,42
103,mutant_103,23.403380952380953,5.8865,42
104,mutant_104,33.82476190476191,5.880071428571428,42
105,mutant_105,20.23557142857143,5.8990238095238094,42
106,mutant_106,18.370857142857144,5.864809523809524,42
107,mutant_107,18.258499999999998,5.883738095238095,42
108,mutant_108,18.057214285714288,5.804928571428571,42
109,mutant_109,37.263333333333335,5.879952380952381,42
110,mutant_110,18.790904761904763,5.886809523809524,42
111,mutant_111,32.36071428571429,5.8810714285714285,42
112,mutant_112,22.23730952380952,5.883261904761905,42
113,mutant_113,18.547857142857143,5.902047619047619,42
114,mutant_114,17.86447619047619,5.893523809523809,42
115,mutant_115,27.065952380952382,6.003119047619047,42
116,mutant_116,37.233333333333334,7.735547619047618,42
117,mutant_117,38.47,5.886619047619048,42
118,mutant_118,13.169857142857143,6.415261904761904,42
119,mutant_119,13.177738095238096,6.415880952380952,42
120,mutant_120,20.242190476190476,6.271166666666667,42
121,mutant_121,15.025285714285715,5.890666666666666,42
122,mutant_122,37.16428571428572,5.898285714285715,42
123,mutant_123,38.37261904761905,5.8795714285714284,42
124,mutant_124,38.41761904761905,5.879190476190476,42
125,mutant_125,38.456428571428575,5.878928571428571,42
126,mutant_126,37.24714285714286,5.887190476190476,42
127,mutant_127,20.669809523809523,11.626261904761904,42
128,mutant_128,27.00357142857143,5.935095238095238,42
129,mutant_129,38.451904761904764,5.8790000000000004,42
130,mutant_130,21.53483333333333,5.895357142857143,42
131,mutant_131,21.46242857142857,5.898904761904761,42
132,mutant_132,38.39809523809524,5.881261904761905,42
133,mutant_133,15.572380952380952,5.827595238095237,42
134,mutant_134,37.19904761904762,5.9074285714285715,42
135,mutant_135,38.38404761904762,5.882095238095238,42
136,mutant_136,38.0452380952381,5.882833333333333,42
137,mutant_137,38.430238095238096,5.880833333333333,42
138,mutant_138,11.506380952380951,5.889261904761905,42
139,mutant_139,35.19357142857143,5.987261904761905,42
140,mutant_140,30.78357142857143,6.3137380952380955,42
141,mutant_141,37.84404761904762,6.891785714285714,42
142,mutant_142,36.915238095238095,5.884190476190476,42
143,mutant_143,37.875,5.879857142857143,42
144,mutant_144,37.87571428571429,5.898119047619048,42
145,mutant_145,37.87404761904762,5.889642857142857,42
146,mutant_146,37.85785714285714,5.880928571428571,42
147,mutant_147,37.875,5.879833333333333,42
148,mutant_148,37.87619047619047,5.894714285714286,42
149,mutant_149,28.258571428571425,5.881023809523809,42
150,mutant_150,27.773809523809526,5.862166666666667,42
151,mutant_151,19.18452380952381,5.883404761904762,42
152,mutant_152,27.931904761904764,5.8018809523809525,42
153,mutant_153,37.269285714285715,5.879166666666667,42
154,mutant_154,24.026190476190475,5.882119047619048,42
155,mutant_155,24.023809523809526,5.882119047619048,42
156,mutant_156,33.360952380952384,5.8799761904761905,42
157,mutant_157,28.833571428571428,5.880904761904762,42
158,mutant_158,37.90809523809524,5.879047619047618,42
159,mutant_159,36.71095238095238,5.934357142857142,42
160,mutant_160,30.78642857142857,5.88052380952381,42
161,mutant_161,36.917142857142856,5.882023809523809,42
162,mutant_162,37.875,5.8849285714285715,42
163,mutant_163,35.92880952380953,5.8002142857142855,42
164,mutant_164,28.637857142857143,5.882142857142857,42
165,mutant_165,20.716976190476192,5.888928571428572,42
166,mutant_166,18.955904761904762,6.107404761904762,42
167,mutant_167,18.2195,5.883904761904762,42
168,mutant_168,18.547761904761906,5.807690476190476,42
169,mutant_169,37.2447619047619,6.902452380952381,42
170,mutant_170,19.54709523809524,6.178190476190475,42
171,mutant_171,19.54907142857143,5.883642857142857,42
172,mutant_172,32.31404761904762,6.349095238095238,42
173,mutant_173,22.525547619047618,5.883071428571428,42
174,mutant_174,33.76309523809524,5.889428571428572,42
175,mutant_175,28.244285714285713,5.881047619047619,42
176,mutant_176,29.211428571428574,5.880833333333333,42
177,mutant_177,35.93047619047619,5.800285714285714,42
178,mutant_178,37.87595238095238,5.912452380952381,42
179,mutant_179,37.87404761904762,5.882071428571429,42
180,mutant_180,37.87595238095238,5.8835476190476195,42
181,mutant_181,37.87547619047619,5.892071428571429,42
182,mutant_182,37.875238095238096,5.881309523809524,42
183,mutant_183,37.87571428571429,5.881714285714286,42
184,mutant_184,37.88809523809524,5.860142857142857,42
185,mutant_185,32.43738095238095,5.880190476190476,42
186,mutant_186,37.10857142857143,5.987095238095238,42
187,mutant_187,34.88142857142857,5.998690476190476,42
188,mutant_188,35.71404761904762,5.963738095238095,42
189,mutant_189,37.87595238095238,5.887190476190476,42
190,mutant_190,37.87809523809524,5.888595238095238,42
191,mutant_191,37.875238095238096,5.887404761904762,42
192,mutant_192,37.87809523809524,5.888595238095238,42
193,mutant_193,37.90809523809524,5.889595238095238,42
194,mutant_194,37.87619047619047,5.937785714285714,42
195,mutant_195,37.87809523809524,5.888595238095238,42
196,mutant_196,37.89904761904762,5.888357142857143,42
197,mutant_197,37.910000000000004,5.899857142857143,42
198,mutant_198,37.87809523809524,5.888595238095238,42
199,mutant_199,37.87619047619047,5.887952380952381,42
200,mutant_200,37.87642857142857,5.91802380952381,42
201,mutant_201,37.87190476190476,9.209857142857143,42
202,mutant_202,37.87023809523809,5.886404761904762,42
203,mutant_203,37.864999999999995,12.898428571428573,42
204,mutant_204,37.87571428571429,6.760428571428571,42
205,mutant_205,37.87547619047619,5.887690476190476,42
206,mutant_206,37.87357142857143,5.893785714285714,42
207,mutant_207,37.87547619047619,5.8911428571428575,42
208,mutant_208,37.875238095238096,5.88697619047619,42
209,mutant_209,37.87619047619047,5.887309523809524,42
210,mutant_210,37.86214285714286,5.905857142857142,42
211,mutant_211,37.85857142857143,5.904190476190476,42
212,mutant_212,37.85642857142857,5.907142857142857,42
213,mutant_213,37.93,5.8072380952380955,42
214,mutant_214,37.85214285714286,5.9034523809523805,42
215,mutant_215,37.85642857142857,5.909928571428572,42
216,mutant_216,37.856904761904765,5.9073095238095235,42
217,mutant_217,37.84166666666666,5.902190476190476,42
218,mutant_218,37.86785714285715,5.906261904761904,42
219,mutant_219,37.86,6.0176428571428575,42
220,mutant_220,37.858333333333334,5.907928571428572,42
221,mutant_221,37.87428571428571,5.887333333333333,42
222,mutant_222,37.85738095238095,5.906690476190476,42
223,mutant_223,37.86619047619048,5.9077142857142855,42
224,mutant_224,37.909285714285716,5.823952380952381,42
225,mutant_225,37.85666666666667,5.903880952380952,42
226,mutant_226,37.86238095238095,5.906428571428571,42
227,mutant_227,37.85952380952381,5.905333333333333,42
228,mutant_228,37.855000000000004,5.902285714285714,42
229,mutant_229,37.86523809523809,5.907333333333334,42
230,mutant_230,37.86404761904762,5.906976190476191,42
231,mutant_231,37.863571428571426,5.906785714285714,42
232,mutant_232,37.86785714285715,5.929714285714286,42
233,mutant_233,38.10357142857143,5.796285714285714,42
